iter	Logloss
0	0.6100820085
1	0.5438497632
2	0.4904083077
3	0.4478530489
4	0.4130174948
5	0.382167283
6	0.3561973983
7	0.3378073182
8	0.3204406044
9	0.307127006
10	0.2951160159
11	0.285891318
12	0.2775902309
13	0.2707932781
14	0.2651653574
15	0.2605948253
16	0.2563073904
17	0.2532830723
18	0.2500764369
19	0.2476806984
20	0.2457506053
21	0.2436993706
22	0.2421432565
23	0.2405862517
24	0.2392568819
25	0.2380733528
26	0.2372150724
27	0.2363724457
28	0.2357601002
29	0.2351368703
30	0.234590749
31	0.2340703879
32	0.2335171459
33	0.2332556113
34	0.2328643092
35	0.2324803996
36	0.2322857743
37	0.2319637585
38	0.2318054091
39	0.231619191
40	0.23152341
41	0.2313551103
42	0.2312197136
43	0.2311017659
44	0.2309616658
45	0.2308319594
46	0.2307687088
47	0.2306585434
48	0.2305834225
49	0.2304325068
50	0.2303786049
51	0.2302955868
52	0.2302470157
53	0.2302223027
54	0.2302068947
55	0.2301558935
56	0.2301001018
57	0.2300625444
58	0.2300405682
59	0.2299910967
60	0.2298957584
61	0.2298586197
62	0.229839006
63	0.2298026961
64	0.2297449306
65	0.2297226845
66	0.2296942451
67	0.2296690307
68	0.229647301
69	0.2296357139
70	0.2296094948
71	0.2295873809
72	0.2295290727
73	0.2295042007
74	0.229495935
75	0.2294704125
76	0.2294565087
77	0.2294048168
78	0.2293913646
79	0.2293703474
80	0.2293508427
81	0.2293329912
82	0.2293160205
83	0.2293052884
84	0.2292933615
85	0.2292727746
86	0.2292578642
87	0.2292477233
88	0.2292279914
89	0.2291911269
90	0.2291781634
91	0.2291625026
92	0.229142982
93	0.2291264231
94	0.2291135551
95	0.2290998574
96	0.2290895501
97	0.2290748285
98	0.2290651949
99	0.229052398
100	0.2290344994
101	0.2290218599
102	0.2290074388
103	0.2289904359
104	0.2289601056
105	0.2289367656
106	0.2289172436
107	0.2288983914
108	0.2288839526
109	0.2288773136
110	0.2288696424
111	0.2288550224
112	0.2288353683
113	0.2288322262
114	0.228811361
115	0.2287977143
116	0.228780732
117	0.2287667284
118	0.228760083
119	0.228752973
120	0.2287358375
121	0.2287219982
122	0.2287076517
123	0.2287002651
124	0.2286846157
125	0.2286793258
126	0.2286724759
127	0.2286570859
128	0.2286512215
129	0.2286347277
130	0.2286268633
131	0.2286154127
132	0.2285915664
133	0.2285778531
134	0.2285650217
135	0.2285408219
136	0.2285290196
137	0.2285145774
138	0.2285021515
139	0.2284875319
140	0.2284687083
141	0.2284379778
142	0.228433984
143	0.2284255897
144	0.2284146604
145	0.2283924027
146	0.228382484
147	0.2283780594
148	0.2283606478
149	0.2283420736
150	0.2283307892
151	0.2283249618
152	0.2283177602
153	0.2283049084
154	0.2283005678
155	0.2282885025
156	0.2282815709
157	0.228274324
158	0.2282665039
