iter	Passed	Remaining
0	54	50934
1	108	50568
2	161	50375
3	215	50305
4	270	50524
5	324	50432
6	380	50572
7	437	50892
8	497	51307
9	553	51359
10	608	51250
11	662	51150
12	717	51070
13	772	50974
14	830	51106
15	889	51277
16	948	51396
17	1005	51404
18	1062	51382
19	1135	52137
20	1199	52378
21	1254	52234
22	1308	52057
23	1365	51999
24	1420	51861
25	1476	51780
26	1535	51822
27	1597	51920
28	1673	52446
29	1745	52837
30	1811	52995
31	1871	52991
32	1932	52987
33	1985	52803
34	2042	52701
35	2105	52759
36	2175	52970
37	2236	52967
38	2296	52938
39	2351	52796
40	2411	52754
41	2465	52598
42	2522	52496
43	2576	52348
44	2633	52259
45	2689	52160
46	2742	51997
47	2795	51834
48	2846	51636
49	2901	51529
50	2957	51431
51	3015	51374
52	3069	51247
53	3123	51130
54	3179	51039
55	3232	50905
56	3288	50826
57	3344	50750
58	3402	50688
59	3457	50598
60	3512	50501
61	3569	50427
62	3629	50415
63	3689	50389
64	3747	50327
65	3805	50282
66	3861	50199
67	3916	50106
68	3971	50016
69	4024	49902
70	4081	49838
71	4141	49809
72	4197	49735
73	4254	49675
74	4313	49632
75	4369	49559
76	4423	49458
77	4477	49365
78	4532	49285
79	4588	49215
80	4645	49149
81	4698	49047
82	4755	48989
83	4814	48944
84	4873	48906
85	4929	48834
86	4987	48782
87	5041	48696
88	5095	48604
89	5150	48524
90	5207	48470
91	5261	48383
92	5316	48303
93	5371	48228
94	5425	48144
95	5481	48079
96	5536	48004
97	5591	47928
98	5646	47850
99	5701	47775
100	5757	47711
101	5810	47619
102	5861	47515
103	5913	47420
104	5969	47358
105	6023	47280
106	6077	47201
107	6133	47136
108	6188	47067
109	6242	46992
110	6294	46894
111	6347	46813
112	6401	46739
113	6454	46654
114	6508	46579
115	6562	46505
116	6618	46443
117	6672	46371
118	6727	46299
119	6780	46222
120	6835	46151
121	6888	46074
122	6945	46020
123	7003	45973
124	7057	45903
125	7112	45836
126	7171	45797
127	7231	45762
128	7291	45730
129	7355	45715
130	7426	45751
131	7494	45759
132	7568	45810
133	7645	45875
134	7709	45856
135	7762	45775
136	7816	45702
137	7871	45632
138	7926	45562
139	7984	45513
140	8041	45452
141	8094	45372
142	8147	45296
143	8203	45233
144	8255	45148
145	8307	45062
146	8366	45018
147	8428	44991
148	8495	44986
149	8560	44972
150	8624	44952
151	8683	44902
152	8744	44866
153	8808	44842
154	8873	44823
155	8935	44790
156	8995	44749
157	9054	44698
158	9114	44654
159	9176	44618
160	9236	44578
161	9298	44540
162	9358	44497
163	9421	44464
164	9484	44432
165	9545	44390
166	9607	44355
167	9667	44308
168	9727	44265
169	9791	44232
170	9853	44195
171	9914	44154
172	9976	44114
173	10038	44076
174	10102	44045
175	10165	44010
176	10229	43981
177	10288	43928
178	10354	43903
179	10418	43875
180	10485	43853
181	10549	43820
182	10609	43770
183	10673	43740
184	10738	43706
185	10805	43687
186	10872	43662
187	10938	43637
188	11004	43610
189	11064	43558
190	11126	43514
191	11189	43475
192	11251	43431
193	11311	43380
194	11368	43318
195	11427	43263
196	11486	43203
197	11552	43176
198	11611	43118
199	11669	43059
200	11731	43016
201	11793	42968
202	11854	42922
203	11917	42878
204	11980	42836
205	12040	42784
206	12102	42737
207	12171	42717
208	12238	42687
209	12296	42626
210	12356	42574
211	12417	42525
212	12484	42495
213	12549	42458
214	12611	42410
215	12672	42359
216	12736	42317
217	12806	42295
218	12868	42247
219	12930	42199
220	12991	42147
221	13051	42093
222	13115	42052
223	13178	42005
224	13240	41959
225	13306	41920
226	13373	41886
227	13441	41857
228	13509	41825
229	13574	41786
230	13640	41746
231	13703	41701
232	13764	41647
233	13825	41595
234	13890	41551
235	13953	41505
236	14016	41458
237	14081	41416
238	14143	41366
239	14203	41309
240	14264	41254
241	14323	41194
242	14384	41141
243	14449	41096
244	14511	41047
245	14574	40996
246	14636	40945
247	14700	40900
248	14766	40859
249	14831	40816
250	14897	40774
251	14964	40735
252	15027	40687
253	15093	40646
254	15159	40603
255	15220	40548
256	15286	40505
257	15347	40451
258	15410	40401
259	15475	40356
260	15538	40305
261	15598	40247
262	15663	40201
263	15728	40156
264	15791	40103
265	15855	40056
266	15918	40004
267	15979	39948
268	16043	39900
269	16108	39854
270	16172	39804
271	16232	39745
272	16289	39679
273	16346	39612
274	16401	39541
275	16460	39482
276	16517	39415
277	16580	39363
278	16639	39302
279	16698	39242
280	16757	39180
281	16813	39113
282	16873	39052
283	16929	38986
284	16988	38924
285	17045	38858
286	17104	38798
287	17165	38742
288	17225	38683
289	17282	38617
290	17340	38554
291	17399	38492
292	17471	38461
293	17540	38421
294	17612	38389
295	17680	38348
296	17746	38301
297	17811	38253
298	17877	38205
299	17940	38152
300	18004	38102
301	18066	38047
302	18129	37994
303	18189	37934
304	18251	37879
305	18310	37818
306	18373	37763
307	18434	37707
308	18494	37647
309	18554	37587
310	18614	37528
311	18675	37471
312	18736	37412
313	18796	37353
314	18857	37295
315	18914	37230
316	18973	37168
317	19031	37105
318	19090	37044
319	19148	36979
320	19206	36918
321	19265	36855
322	19325	36796
323	19385	36737
324	19448	36682
325	19505	36618
326	19565	36557
327	19624	36497
328	19686	36440
329	19747	36382
330	19806	36321
331	19865	36260
332	19923	36196
333	19980	36133
334	20039	36071
335	20100	36013
336	20162	35956
